Date;HStart;HEnd;Summary;Location;Groupe;Intervenant
07/10/2024;09:00:00;10:00:00;Math-Signal1 ;A5-A5bis;1A;COURSIMAULT DAVID 
20/11/2024;08:00:00;11:00:00;Elec1 ;C1;1ATP3; CAPALLERA FLORENCE 
09/12/2024;16:30:00;17:30:00;Soutien info;B6;1ATDA; Intervenant à  préciser 
04/10/2024;06:00:00;08:00:00;SAE1.02;C1bis;1ATP4; HERNANDEZ SEBASTIEN 
18/12/2024;07:00:00;09:00:00;Archi-Sys1 ;C5;1ATP4; PERRIOT ROMAIN 
17/09/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
02/10/2024;14:30:00;17:30:00;Init-Rés1 ;C7;1ATP1; BROS LAURENT 
03/12/2024;09:00:00;11:00:00;SAE1.03;C1,A6;1ATDB;  
11/12/2024;07:00:00;09:00:00;Archi-Sys1 ;C7;1ATP3; PERRIOT ROMAIN 
25/10/2024;06:00:00;07:00:00;Soutien Télécoms;B6,A6;1ATP1; CAPALLERA FLORENCE 
26/09/2024;08:00:00;10:00:00;Init-Rés1 ;B6;1ATDB; HERNANDEZ SEBASTIEN 
30/09/2024;11:30:00;13:30:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
17/12/2024;14:30:00;16:30:00;Anglais1 ;B2;1ATP1; BEIGNON D AGOSTINO LAURE 
16/10/2024;06:00:00;08:00:00;Archi-Sys1 ;A5bis;1ATDB; JACQUET JEAN-PAUL 
23/10/2024;09:00:00;10:00:00;Archi-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
03/10/2024;11:30:00;13:30:00;Prog1 ;B3;1ATP3; ZAYENE MARIEM 
12/09/2024;11:30:00;12:30:00;SAE1.02;A5-A5bis;1A; HERNANDEZ SEBASTIEN 
04/10/2024;11:30:00;14:30:00;Init-Rés1 ;C1bis;1ATP3; HERNANDEZ SEBASTIEN 
09/10/2024;14:30:00;17:30:00;Init-Rés1 ;B8;1ATP1; BROS LAURENT 
13/12/2024;07:00:00;09:00:00;PPP1 ;B7;1ATDB; MAYET KARINE 
15/11/2024;12:30:00;15:30:00;Init-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
10/12/2024;12:30:00;15:30:00;Telecom1 ;C1;1ATP3; CAPALLERA FLORENCE 
18/09/2024;08:00:00;10:00:00;Prog1 ;B8;1ATP2; ZAYENE MARIEM 
23/09/2024;13:30:00;15:30:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
13/12/2024;12:00:00;14:00:00;Anglais1 ;B2;1ATP1; BEIGNON D AGOSTINO LAURE 
10/12/2024;09:00:00;11:00:00;SAE1.04;B6,B8;1ATDB;  
05/12/2024;07:00:00;09:00:00;Syst1 Exam ;C5;1ATP4; JACQUET FREDERIQUE 
24/09/2024;11:30:00;13:30:00;SAE1.02;C7;1ATP3; HERNANDEZ SEBASTIEN 
18/10/2024;11:30:00;14:30:00;Init-Rés1 ;B8;1ATP3; HERNANDEZ SEBASTIEN 
24/09/2024;11:30:00;13:30:00;Prog1 ;B8;1ATP4; SIGURET ARNAUD 
16/09/2024;10:00:00;10:30:00;Présentation Infirmerie;A5-A5bis;1A;  
